0x000000, 0x
999900, 0x
999900, 0x
eee000, 0x
aaaaaa, 0x
aa9956, 0x
aa99ff, 0x
900000, 0x
eee000, 0x
000000, 0x
a00000, 0x
500000, 0x
333333, 0x
333333, 0x
000000, 0x
000000, 0x
aaaa00, 0x
aa99ff, 0x
aaaaaa, 0x
aa9900, 0x
999900, 0x
aa99ff, 0x
eee000, 0x
eee000, 0x
eee000, 0x
eee000, 0x
333333, 0x
000000, 0x
000000, 0x
ffffff, 0x
333333, 0x
ffffff, 0x
000000, 0x
000000, 0x
900000, 0x
999900, 0x
000000, 0x
ffff00, 0x
ffffff, 0x
ffffff, 0x
ffffff, 0x
555500, 0x
666666, 0x
665fff, 0x
333300, 0x
111220, 0x
222200, 0x
000000, 0x
000000, 0x
000000, 0x
ff99aa, 0x
000000, 0x
666600, 0x
000000, 0x
000000, 0x
100000, 0x
111112, 0x
000000, 0x
566fff, 0x
666600, 0x
200000, 0x
888800, 0x
111220, 0x
200000, 0x
000000, 0x
000000, 0x
700000, 0x
000000, 0x
111100, 0x
f00000, 0x
000000, 0x
000000, 0x
555500, 0x
111112, 0x
444444, 0x
777777, 0x
111220, 0x
888800, 0x
888800, 0x
111220, 0x
999990, 0x
888880, 0x
778800, 0x
778880, 0x
111100, 0x
100000, 0x
111100, 0x
111110, 0x
111000, 0x
ffff00, 0x
111100, 0x
778800, 0x
888800, 0x
888800, 0x
888880, 0x
111220, 0x
99aaff, 0x
888880, 0x
888880, 0x
777822, 0x
111220, 0x
111100, 0x
111100, 0x
111100, 0x
111100, 0x
111100, 0x
227778, 0x
777700, 0x
777700, 0x
777822, 0x
111120, 0x
ffff00, 0x
888880, 0x
888700, 0x
888800, 0x
300000, 0x
fff566, 0x
333300, 0x
000000, 0x
111100, 0x
444440, 0x
444400, 0x
555555, 0x
555555, 0x
222200, 0x
111100, 0x
200000
